Name,Description,Likelihood Of Attack,Prerequisites,Skills Required,Consequences,Mitigations
Accessing Functionality Not Properly Constrained by ACLs,"In applications, particularly web applications, access to functionality is mitigated by an authorization framework. This framework maps Access Control Lists (ACLs) to elements of the application's functionality; particularly URL's for web apps. In the case that the administrator failed to specify an ACL for a particular element, an attacker may be able to access it with impunity. An attacker with the ability to access functionality not properly constrained by ACLs can obtain sensitive information and possibly compromise the entire application. Such an attacker can access resources that must be available only to users at a higher privilege level, can access management sections of the application, or can run queries for data that they otherwise not supposed to.",High,"The application must be navigable in a manner that associates elements (subsections) of the application with ACLs.The various resources, or individual URLs, must be somehow discoverable by the attackerThe administrator must have forgotten to associate an ACL or has associated an inappropriately permissive ACL with a particular navigable resource.","SKILL:In order to discover unrestricted resources, the attacker does not need special tools or skills. They only have to observe the resources or access mechanisms invoked as each action is performed and then try and access those access mechanisms directly.:LEVEL:Low",SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges,"In a J2EE setting, administrators can associate a role that is impossible for the authenticator to grant users, such as NoAccess, with all Servlets to which access is guarded by a limited number of servlets visible to, and accessible by, the user. Having done so, any direct access to those protected Servlets will be prohibited by the web container. In a more general setting, the administrator must mark every resource besides the ones supposed to be exposed to the user as accessible by a role impossible for the user to assume. The default security setting must be to deny access and then grant access only to those resources intended by business logic."
Buffer Overflow via Environment Variables,"This attack pattern involves causing a buffer overflow through manipulation of environment variables. Once the adversary finds that they can modify an environment variable, they may try to overflow associated buffers. This attack leverages implicit trust often placed in environment variables.",High,The application uses environment variables.An environment variable exposed to the user is vulnerable to a buffer overflow.The vulnerable environment variable uses untrusted data.Tainted data used in the environment variables is not properly validated. For instance boundary checking is not done before copying the input data to a buffer.,SKILL:An attacker can simply overflow a buffer by inserting a long string into an attacker-modifiable injection vector. The result can be a DoS.:LEVEL:LowSKILL:Exploiting a buffer overflow to inject malicious code into the stack of a software system or even the heap can require a higher skill level.:LEVEL:High,SCOPE:Availability:TECHNICAL IMPACT:Unreliable ExecutionSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges,Do not expose environment variable to the user.Do not use untrusted data in your environment variables.Use a language or compiler that performs automatic bounds checkingThere are tools such as Sharefuzz [REF-2] which is an environment variable fuzzer for Unix that support loading a shared library. You can use Sharefuzz to determine if you are exposing an environment variable vulnerable to buffer overflow.
Overflow Buffers,"Buffer Overflow attacks target improper or missing bounds checking on buffer operations, typically triggered by input injected by an adversary. As a consequence, an adversary is able to write past the boundaries of allocated buffer regions in memory, causing a program crash or potentially redirection of execution as per the adversaries' choice.",High,Targeted software performs buffer operations.Targeted software inadequately performs bounds-checking on buffer operations.Adversary has the capability to influence the input to buffer operations.,"SKILL:In most cases, overflowing a buffer does not require advanced skills beyond the ability to notice an overflow and stuff an input variable with content.:LEVEL:LowSKILL:In cases of directed overflows, where the motive is to divert the flow of the program or application as per the adversaries' bidding, high level skills are required. This may involve detailed knowledge of the target system architecture and kernel.:LEVEL:High",SCOPE:Availability:TECHNICAL IMPACT:Unreliable ExecutionSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges,"Use a language or compiler that performs automatic bounds checking.Use secure functions not vulnerable to buffer overflow.If you have to use dangerous functions, make sure that you do boundary checking.Compiler-based canary mechanisms such as StackGuard, ProPolice and the Microsoft Visual Studio /GS flag. Unless this provides automatic bounds checking, it is not a complete solution.Use OS-level preventative functionality. Not a complete solution.Utilize static source code analysis tools to identify potential buffer overflow weaknesses in the software."
Server Side Include (SSI) Injection,"An attacker can use Server Side Include (SSI) Injection to send code to a web application that then gets executed by the web server. Doing so enables the attacker to achieve similar results to Cross Site Scripting, viz., arbitrary code execution and information disclosure, albeit on a more limited scale, since the SSI directives are nowhere near as powerful as a full-fledged scripting language. Nonetheless, the attacker can conveniently gain access to sensitive files, such as password files, and execute shell commands.",High,A web server that supports server side includes and has them enabledUser controllable input that can carry include directives to the web server,"SKILL:The attacker needs to be aware of SSI technology, determine the nature of injection and be able to craft input that results in the SSI directives being executed.:LEVEL:Medium",SCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary Code,"Set the OPTIONS IncludesNOEXEC in the global access.conf file or local .htaccess (Apache) file to deny SSI execution in directories that do not need themAll user controllable input must be appropriately sanitized before use in the application. This includes omitting, or encoding, certain characters or strings that have the potential of being interpreted as part of an SSI directiveServer Side Includes must be enabled only if there is a strong business reason to do so. Every additional component enabled on the web server increases the attack surface as well as administrative overhead"
Session Sidejacking,"Session sidejacking takes advantage of an unencrypted communication channel between a victim and target system. The attacker sniffs traffic on a network looking for session tokens in unencrypted traffic. Once a session token is captured, the attacker performs malicious actions by using the stolen token with the targeted application to impersonate the victim. This attack is a specific method of session hijacking, which is exploiting a valid session token to gain unauthorized access to a target system or information. Other methods to perform a session hijacking are session fixation, cross-site scripting, or compromising a user or server machine and stealing the session token.",High,"An attacker and the victim are both using the same WiFi network.The victim has an active session with a target system.The victim is not using a secure channel to communicate with the target system (e.g. SSL, VPN, etc.)The victim initiated communication with a target system that requires transfer of the session token or the target application uses AJAX and thereby periodically rings home asynchronously using the session token",SKILL:Easy to use tools exist to automate this attack.:LEVEL:Low,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Availability:TECHNICAL IMPACT:Unreliable Execution,"Make sure that HTTPS is used to communicate with the target system. Alternatively, use VPN if possible. It is important to ensure that all communication between the client and the server happens via an encrypted secure channel.Modify the session token with each transmission and protect it with cryptography. Add the idea of request sequencing that gives the server an ability to detect replay attacks."
Clickjacking,"An adversary tricks a victim into unknowingly initiating some action in one system while interacting with the UI from a seemingly completely different, usually an adversary controlled or intended, system.",Medium,"The victim is communicating with the target application via a web based UI and not a thick clientThe victim's browser security policies allow at least one of the following JavaScript, Flash, iFrames, ActiveX, or CSS.The victim uses a modern browser that supports UI elements like clickable buttons (i.e. not using an old text only browser)The victim has an active session with the target system.The target system's interaction window is open in the victim's browser and supports the ability for initiating sensitive actions on behalf of the user in the target system",SKILL:Crafting the proper malicious site and luring the victim to this site are not trivial tasks.:LEVEL:High,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Availability:TECHNICAL IMPACT:Unreliable Execution,"If using the Firefox browser, use the NoScript plug-in that will help forbid iFrames.Turn off JavaScript, Flash and disable CSS.When maintaining an authenticated session with a privileged target system, do not use the same browser to navigate to unfamiliar sites to perform other activities. Finish working with the target system and logout first before proceeding to other tasks."
Cross Zone Scripting,An attacker is able to cause a victim to load content into their web-browser that bypasses security zone controls and gain access to increased privileges to execute scripting code or other web objects such as unsigned ActiveX controls or applets. This is a privilege elevation attack targeted at zone-based web-browser security.,Medium,The target must be using a zone-aware browser.,SKILL:Ability to craft malicious scripts or find them elsewhere and ability to identify functionality that is running web controls in the local zone and to find an injection vector into that functionality:LEVEL:Medium,SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary Code,Disable script execution.Ensure that sufficient input validation is performed for any potentially untrusted data before it is used in any privileged context or zoneLimit the flow of untrusted data into the privileged areas of the system that run in the higher trust zoneLimit the sites that are being added to the local machine zone and restrict the privileges of the code running in that zone to the bare minimumEnsure proper HTML output encoding before writing user supplied data to the page
HTTP Request Splitting,"An adversary abuses the flexibility and discrepancies in the parsing and interpretation of HTTP Request messages by different intermediary HTTP agents (e.g., load balancer, reverse proxy, web caching proxies, application firewalls, etc.) to split a single HTTP request into multiple unauthorized and malicious HTTP requests to a back-end HTTP agent (e.g., web server). See CanPrecede relationships for possible consequences.",Medium,"An additional intermediary HTTP agent such as an application firewall or a web caching proxy between the adversary and the second agent such as a web server, that sends multiple HTTP messages over same network connection.Differences in the way the two HTTP agents parse and interpret HTTP requests and its headers.HTTP headers capable of being user-manipulated.HTTP agents running on HTTP/1.0 or HTTP/1.1 that allow for Keep Alive mode, Pipelined queries, and Chunked queries and responses.","SKILL:Detailed knowledge on HTTP protocol: request and response messages structure and usage of specific headers.:LEVEL:MediumSKILL:Detailed knowledge on how specific HTTP agents receive, send, process, interpret, and parse a variety of HTTP messages and headers.:LEVEL:MediumSKILL:Possess knowledge on the exact details in the discrepancies between several targeted HTTP agents in path of an HTTP message in parsing its message structure and individual headers.:LEVEL:Medium",SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized CommandsSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Integrity:TECHNICAL IMPACT:Modify Data,Design: evaluate HTTP agents prior to deployment for parsing/interpretation discrepancies.Configuration: front-end HTTP agents notice ambiguous requests.Configuration: back-end HTTP agents reject ambiguous requests and close the network connection.Configuration: Disable reuse of back-end connections.Configuration: Use HTTP/2 for back-end connections.Configuration: Use the same web server software for front-end and back-end server.Implementation: Utilize a Web Application Firewall (WAF) that has built-in mitigation to detect abnormal requests/responses.Configuration: Install latest vendor security patches available for both intermediary and back-end HTTP infrastructure (i.e. proxies and web servers)Configuration: Ensure that HTTP infrastructure in the chain or network path utilize a strict uniform parsing process.Implementation: Utilize intermediary HTTP infrastructure capable of filtering and/or sanitizing user-input.
Cross Site Tracing,Cross Site Tracing (XST) enables an adversary to steal the victim's session cookie and possibly other authentication credentials transmitted in the header of the HTTP request when the victim's browser communicates to a destination system's web server.,Medium,HTTP TRACE is enabled on the web serverThe destination system is susceptible to XSS or an adversary can leverage some other weakness to bypass the same origin policyScripting is enabled in the client's browserHTTP is used as the communication protocol between the server and the client,SKILL:Understanding of the HTTP protocol and an ability to craft a malicious script:LEVEL:Medium,SCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Integrity:TECHNICAL IMPACT:Modify Data,Administrators should disable support for HTTP TRACE at the destination's web server. Vendors should disable TRACE by default.Patch web browser against known security origin policy bypass exploits.
Command Line Execution through SQL Injection,"An attacker uses standard SQL injection methods to inject data into the command line for execution. This could be done directly through misuse of directives such as MSSQL_xp_cmdshell or indirectly through injection of data into the database that would be interpreted as shell commands. Sometime later, an unscrupulous backend application (or could be part of the functionality of the same application) fetches the injected data stored in the database and uses this data as command line arguments without performing proper validation. The malicious data escapes that data plane by spawning new commands to be executed on the host.",Low,The application does not properly validate data before storing in the databaseBackend application implicitly trusts the data stored in the databaseMalicious data is used on the backend as a command line argument,"SKILL:The attacker most likely has to be familiar with the internal functionality of the system to launch this attack. Without that knowledge, there are not many feedback mechanisms to give an attacker the indication of how to perform command injection or whether the attack is succeeding.:LEVEL:High",SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Availability:TECHNICAL IMPACT:Unreliable ExecutionSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary Code,Disable MSSQL xp_cmdshell directive on the databaseProperly validate the data (syntactically and semantically) before writing it to the database.Do not implicitly trust the data stored in the database. Re-validate it prior to usage to make sure that it is safe to use in a given context (e.g. as a command line argument).
